5luser	github-clone	Anon4You/5LUser	script-clone
9router	npm	9router	rolling-download
afrog	github-clone	zan8in/afrog	script-clone
aircrack-ng	github-clone	aircrack-ng/aircrack-ng	script-clone
amass	github-release	owasp-amass/amass	rolling-download
andrax	none		rolling-download
androdos	none		static-data
android-sdk	github-release	termuxvoid/android-sdk-termux	rolling-download
androvirus	github-clone	Anon4You/AndroVirus	script-clone
antigravity-cli	github-release	google-antigravity/antigravity-cli	rolling-download
antisplit	github-clone	termuxvoid/AntiSplit	script-clone
apkeditor	github-release	REAndroid/APKEditor	rolling-download
apkgen-cli	github-clone	termuxvoid/apkgen-cli	script-clone
apkleaks	pypi	apkleaks	rolling-download
apkpatcher	github-clone	Anon4You/APKpatcher	script-clone
apksearch	pypi	apksearch	rolling-download
arjun	pypi	arjun	rolling-download
arsenal-ng	github-clone	halilkirazkaya/arsenal-ng	script-clone
asciibanner	none		static-data
beef	github-tag	beefproject/beef	rolling-download
bettercap	github-tag	bettercap/bettercap	script-clone
bitb-framework	github-clone	surya-dev-singh/BITB-framwork	script-clone
blackbird	github-clone	p1ngul1n0/blackbird	script-clone
blackbox-framework	none		rolling-download
blackhat	none		static-data
blesh	github-clone	akinomyoga/ble.sh	script-clone
blutter	github-clone	dedshit/blutter-termux	script-clone
breacher	github-clone	s0md3v/Breacher	script-clone
brutespray	go	github.com/x90skysn3k/brutespray/v2	rolling-download
bun	github-release	oven-sh/bun	rolling-download
burpsuite	none		rolling-download
burpsuite-pro	none		rolling-download
byakugan	github-clone	Anon4You/Byakugan	script-clone
catsay	github-clone	Anon4You/catsay	script-clone
cctvip	none		rolling-download
cdxsummary	pypi	cdxsummary	rolling-download
cewl	github-clone	digininja/CeWL	script-clone
claude-code	github-release	anthropics/claude-code	rolling-download
cloudflare-gui	none		rolling-download
commix	github-clone	commixproject/commix	script-clone
copilot-cli	github-release	github/copilot-cli	rolling-download
cronitor-cli	github-release	cronitorio/cronitor-cli	rolling-download
cupp	none		static-data
d-tect	github-clone	bibortone/D-Tech	script-clone
dalfox	github-tag	hahwul/dalfox	rolling-download
dark-phish	github-clone	Cyber-Anonymous/Dark-Phish	script-clone
darkcrawler	github-clone	Anon4You/DarkCrawler	script-clone
darksploit-framework	github-clone	ykankaya/DarkSploit	script-clone
